epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5117,2.08481,4.34597,1.26665,0.00851,0.34604,0.08784,0.03045,1.69772,3.63934,1.09668,0.000297173,0.000297173,0.000297173
2,19.794,1.83614,2.6898,1.18442,0.78112,0.13467,0.39248,0.17354,1.65234,2.7392,1.19921,0.000594231,0.000594231,0.000594231
3,29.1956,1.76978,2.2681,1.18041,0.72602,0.36836,0.45512,0.20809,1.65705,2.02509,1.18616,0.00088529,0.00088529,0.00088529
4,38.6945,1.67542,1.97018,1.13905,0.76832,0.44489,0.50112,0.24794,1.58862,1.5044,1.1398,0.000882003,0.000882003,0.000882003
5,48.5868,1.68179,1.80133,1.14407,0.81105,0.47508,0.51918,0.26095,1.58717,1.37655,1.17919,0.000873004,0.000873004,0.000873004
6,58.8602,1.64449,1.7081,1.12664,0.8781,0.44452,0.56333,0.2956,1.5139,1.27097,1.1289,0.000864004,0.000864004,0.000864004
7,69.4554,1.60961,1.56494,1.11909,0.61656,0.45788,0.50195,0.27428,1.47836,1.37908,1.11428,0.000855005,0.000855005,0.000855005
8,79.9621,1.5786,1.48287,1.10301,0.6885,0.49893,0.59876,0.32308,1.47116,1.1784,1.11882,0.000846006,0.000846006,0.000846006
9,89.3725,1.55351,1.38272,1.07425,0.54034,0.65724,0.61461,0.34179,1.45773,1.15526,1.0927,0.000837007,0.000837007,0.000837007
10,98.3861,1.52727,1.31034,1.09604,0.7135,0.42563,0.52617,0.2748,1.56936,1.32029,1.14979,0.000828008,0.000828008,0.000828008
11,107.877,1.5214,1.27667,1.08685,0.64051,0.64772,0.68956,0.41168,1.46038,1.09646,1.10543,0.000819009,0.000819009,0.000819009
12,117.83,1.51883,1.22764,1.08368,0.64249,0.5809,0.61073,0.34724,1.43267,1.10607,1.08503,0.00081001,0.00081001,0.00081001
13,127.024,1.52507,1.1965,1.08687,0.59004,0.7252,0.70163,0.40392,1.45051,1.08423,1.10369,0.000801011,0.000801011,0.000801011
14,136.056,1.51519,1.19218,1.09118,0.68312,0.61891,0.70365,0.40883,1.42865,1.09023,1.08975,0.000792012,0.000792012,0.000792012
15,145.359,1.4667,1.12542,1.05244,0.57747,0.73647,0.68995,0.40068,1.48242,1.13223,1.10979,0.000783013,0.000783013,0.000783013
16,154.618,1.46854,1.12639,1.07029,0.6793,0.67159,0.70697,0.3985,1.42739,1.10384,1.09862,0.000774013,0.000774013,0.000774013
17,163.558,1.46574,1.1041,1.06378,0.67965,0.61953,0.7163,0.40626,1.47264,1.08229,1.11406,0.000765014,0.000765014,0.000765014
18,173.341,1.44334,1.04621,1.06113,0.62409,0.71697,0.70432,0.39631,1.36813,1.11954,1.0612,0.000756015,0.000756015,0.000756015
19,182.407,1.43695,1.04498,1.05051,0.6872,0.68078,0.71922,0.41801,1.39591,1.0784,1.07937,0.000747016,0.000747016,0.000747016
20,191.82,1.43863,1.03993,1.06751,0.62094,0.71541,0.72601,0.4005,1.40766,1.01091,1.10539,0.000738017,0.000738017,0.000738017
21,203.038,1.41648,0.99817,1.04275,0.57593,0.68431,0.66542,0.36386,1.41204,1.01863,1.08109,0.000729018,0.000729018,0.000729018
22,212.535,1.40942,0.97108,1.0358,0.6937,0.64788,0.72311,0.41856,1.35807,0.93794,1.04907,0.000720019,0.000720019,0.000720019
23,221.566,1.39504,0.96374,1.03925,0.75942,0.67951,0.75962,0.44274,1.39703,0.96381,1.07351,0.00071102,0.00071102,0.00071102
24,230.27,1.40598,0.95009,1.04906,0.69577,0.70584,0.76525,0.44794,1.40172,0.9542,1.08335,0.000702021,0.000702021,0.000702021
25,240.012,1.38716,0.94852,1.03659,0.74368,0.69165,0.76847,0.42703,1.34739,0.9567,1.05881,0.000693022,0.000693022,0.000693022
26,251.654,1.38552,0.92884,1.02747,0.72074,0.72903,0.77559,0.44423,1.39669,0.93252,1.07786,0.000684022,0.000684022,0.000684022
27,260.707,1.37653,0.88876,1.01872,0.90212,0.6713,0.77452,0.44294,1.36264,0.89808,1.0594,0.000675023,0.000675023,0.000675023
28,269.74,1.37795,0.8995,1.02368,0.91874,0.72159,0.79128,0.47431,1.36359,0.88133,1.06643,0.000666024,0.000666024,0.000666024
29,278.735,1.35504,0.87943,1.0212,0.80861,0.6952,0.77677,0.45645,1.45237,0.96651,1.10543,0.000657025,0.000657025,0.000657025
30,288.969,1.32135,0.86261,1.01335,0.87216,0.74443,0.78939,0.44044,1.36934,0.91277,1.06013,0.000648026,0.000648026,0.000648026
31,299.998,1.36924,0.87356,1.0172,0.89397,0.6871,0.77323,0.44355,1.3841,0.89297,1.05995,0.000639027,0.000639027,0.000639027
32,312.641,1.37195,0.86254,1.02027,0.91989,0.72767,0.78038,0.44757,1.37155,0.86488,1.06841,0.000630028,0.000630028,0.000630028
33,323.331,1.31834,0.84713,1.01508,0.88745,0.76774,0.79538,0.46752,1.35649,0.87021,1.0668,0.000621029,0.000621029,0.000621029
34,336.921,1.32132,0.84882,1.01667,0.88883,0.7138,0.78154,0.48043,1.34013,0.8555,1.05601,0.00061203,0.00061203,0.00061203
35,350.331,1.33263,0.83456,1.01531,0.88303,0.68769,0.77645,0.45686,1.34795,0.91396,1.06104,0.000603031,0.000603031,0.000603031
36,359.249,1.33639,0.8414,1.01617,0.86832,0.73159,0.77356,0.46332,1.35349,0.86561,1.06152,0.000594031,0.000594031,0.000594031
37,368.248,1.34431,0.82069,1.00627,0.89418,0.74175,0.78025,0.47748,1.35601,0.89677,1.07374,0.000585032,0.000585032,0.000585032
38,377.302,1.2961,0.77955,1.00356,0.85558,0.75247,0.78879,0.45882,1.35301,0.87169,1.05708,0.000576033,0.000576033,0.000576033
39,387.369,1.32245,0.81621,1.00875,0.83832,0.75739,0.78772,0.46837,1.38042,0.88903,1.07009,0.000567034,0.000567034,0.000567034
40,399.602,1.27872,0.75975,0.98926,0.86907,0.73226,0.76416,0.44661,1.32758,0.87278,1.05994,0.000558035,0.000558035,0.000558035
41,413.134,1.29812,0.76102,1.00493,0.90957,0.74822,0.78893,0.45593,1.32535,0.81869,1.04078,0.000549036,0.000549036,0.000549036
42,425.556,1.25731,0.75317,0.98564,0.90147,0.73191,0.80892,0.50588,1.35542,0.84227,1.0833,0.000540037,0.000540037,0.000540037
43,434.011,1.28751,0.77235,0.9971,0.87055,0.75635,0.78653,0.45649,1.36802,0.84754,1.05862,0.000531038,0.000531038,0.000531038
