epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26965,2.17863,3.64784,1.30805,0.00783,0.68613,0.05052,0.01316,1.97986,3.65581,1.17772,0.00038,0.00038,0.00038
2,6.94589,1.97938,2.31,1.2229,0.00704,0.61679,0.00781,0.00335,1.7754,3.94456,1.13436,0.000772278,0.000772278,0.000772278
3,10.2641,1.91926,1.92684,1.17357,0.00633,0.55474,0.01476,0.0058,1.98096,3.58984,1.20299,0.00115664,0.00115664,0.00115664
4,12.8924,1.73013,1.65664,1.12958,0.00387,0.33942,0.10809,0.05004,1.92172,3.75223,1.28241,0.00153307,0.00153307,0.00153307
5,15.8054,1.72022,1.56439,1.12567,0.80954,0.4809,0.62331,0.26903,1.86005,2.13978,1.1784,0.00190159,0.00190159,0.00190159
6,18.6603,1.67971,1.43202,1.10258,0.57958,0.5438,0.55801,0.20853,1.97166,1.94947,1.2131,0.001901,0.001901,0.001901
7,21.8058,1.68093,1.36566,1.11809,0.79279,0.72993,0.74946,0.3726,1.69257,1.55295,1.14816,0.0018812,0.0018812,0.0018812
8,24.6057,1.61689,1.24296,1.07862,0.69217,0.72215,0.7,0.32122,1.87287,1.62753,1.27136,0.0018614,0.0018614,0.0018614
9,27.2459,1.62564,1.20041,1.12164,0.77045,0.72273,0.76428,0.37581,1.71611,1.40787,1.21632,0.0018416,0.0018416,0.0018416
10,30.0445,1.58524,1.15018,1.07548,0.77654,0.76642,0.79458,0.37797,1.8034,1.17052,1.19963,0.0018218,0.0018218,0.0018218
11,32.8067,1.54874,1.09627,1.05315,0.65549,0.82847,0.75282,0.38619,1.67167,1.17442,1.12524,0.001802,0.001802,0.001802
12,35.4785,1.58214,1.07252,1.04861,0.83684,0.77372,0.81931,0.41933,1.67771,1.08294,1.14956,0.0017822,0.0017822,0.0017822
13,38.3483,1.50925,0.98546,1.04109,0.82603,0.72628,0.79155,0.41836,1.6566,1.12748,1.13925,0.0017624,0.0017624,0.0017624
14,41.2153,1.47696,0.95941,1.04913,0.8325,0.78102,0.805,0.4452,1.5641,0.96021,1.08633,0.0017426,0.0017426,0.0017426
15,43.8102,1.50038,0.94441,1.04395,0.82765,0.75912,0.81606,0.44838,1.58698,0.9336,1.07549,0.0017228,0.0017228,0.0017228
16,46.6346,1.48725,0.92472,1.04736,0.80258,0.71218,0.7817,0.39878,1.65739,1.01659,1.11263,0.001703,0.001703,0.001703
17,49.5728,1.52115,0.91174,1.03858,0.86598,0.80181,0.84567,0.4462,1.58686,0.92953,1.08292,0.0016832,0.0016832,0.0016832
18,52.3963,1.50655,0.92709,1.03414,0.83769,0.80993,0.84872,0.45054,1.53513,1.02025,1.08828,0.0016634,0.0016634,0.0016634
19,55.1552,1.46903,0.87738,1.02751,0.89256,0.81387,0.85517,0.48886,1.54799,0.8409,1.11533,0.0016436,0.0016436,0.0016436
20,58.0134,1.44337,0.84209,1.0005,0.85754,0.85682,0.86246,0.47316,1.53854,0.86914,1.10502,0.0016238,0.0016238,0.0016238
21,60.7808,1.47955,0.86252,1.02627,0.87032,0.86496,0.88461,0.49574,1.54769,0.82973,1.08004,0.001604,0.001604,0.001604
22,63.7016,1.418,0.8346,1.00365,0.80386,0.82847,0.84379,0.43905,1.61515,1.16825,1.09874,0.0015842,0.0015842,0.0015842
23,66.7425,1.42279,0.80853,1.01549,0.84408,0.83942,0.87047,0.4968,1.51123,0.89758,1.07176,0.0015644,0.0015644,0.0015644
24,69.8218,1.43234,0.83181,1.02484,0.86323,0.85226,0.87725,0.49613,1.54551,0.85594,1.08313,0.0015446,0.0015446,0.0015446
25,72.6895,1.44024,0.79531,1.03382,0.82256,0.83212,0.85678,0.45005,1.62086,1.00292,1.11451,0.0015248,0.0015248,0.0015248
26,75.4072,1.41624,0.79661,1.00943,0.92056,0.80351,0.86544,0.46423,1.59425,0.91429,1.11584,0.001505,0.001505,0.001505
27,78.0172,1.39888,0.79076,1.00741,0.9095,0.85036,0.89176,0.49371,1.54779,0.82082,1.09347,0.0014852,0.0014852,0.0014852
28,81.0104,1.41488,0.7874,0.99979,0.79449,0.86064,0.85477,0.48802,1.48582,1.01618,1.04996,0.0014654,0.0014654,0.0014654
29,84.0127,1.39366,0.76849,0.9971,0.87785,0.86558,0.86056,0.51703,1.43948,0.76357,1.04119,0.0014456,0.0014456,0.0014456
30,86.941,1.35515,0.75912,0.99241,0.83704,0.85401,0.86293,0.49881,1.49354,0.85279,1.08445,0.0014258,0.0014258,0.0014258
31,89.9959,1.3643,0.76689,0.99963,0.88446,0.86609,0.87712,0.50292,1.52999,0.80702,1.10843,0.001406,0.001406,0.001406
32,93.2227,1.32094,0.74315,0.98702,0.89167,0.84115,0.86528,0.49525,1.48636,0.8243,1.07801,0.0013862,0.0013862,0.0013862
33,96.1283,1.36164,0.74186,0.9985,0.8762,0.85238,0.8598,0.48008,1.52208,0.86149,1.08302,0.0013664,0.0013664,0.0013664
34,98.7641,1.34414,0.73749,1.00234,0.90262,0.81752,0.84622,0.47909,1.54909,0.84097,1.09376,0.0013466,0.0013466,0.0013466
35,101.684,1.37275,0.75678,0.98801,0.88698,0.8593,0.87326,0.50025,1.49819,0.81387,1.05758,0.0013268,0.0013268,0.0013268
36,104.48,1.31401,0.72317,0.97173,0.90226,0.84229,0.86897,0.50355,1.50124,0.7801,1.08781,0.001307,0.001307,0.001307
37,107.29,1.31963,0.71934,0.98677,0.88494,0.87016,0.8751,0.50545,1.46492,0.74648,1.09311,0.0012872,0.0012872,0.0012872
38,110.117,1.32446,0.70908,0.98123,0.85127,0.85643,0.86183,0.49932,1.45297,0.8158,1.07676,0.0012674,0.0012674,0.0012674
39,113.088,1.2985,0.6929,0.98017,0.82939,0.86861,0.85649,0.48552,1.49622,0.93071,1.09664,0.0012476,0.0012476,0.0012476
40,116.267,1.3076,0.70508,0.97562,0.883,0.79876,0.84919,0.51393,1.4939,0.76319,1.07901,0.0012278,0.0012278,0.0012278
41,119.134,1.29238,0.69416,0.96681,0.82435,0.78832,0.84856,0.47814,1.53204,1.18033,1.10589,0.001208,0.001208,0.001208
42,122.014,1.26167,0.67775,0.9637,0.87425,0.86267,0.88418,0.51764,1.49699,0.75359,1.09859,0.0011882,0.0011882,0.0011882
43,125.056,1.26417,0.66785,0.96561,0.90233,0.83212,0.87264,0.51536,1.46035,0.75433,1.07729,0.0011684,0.0011684,0.0011684
44,127.763,1.26457,0.67331,0.96222,0.89311,0.82339,0.87878,0.51866,1.49984,0.77584,1.06808,0.0011486,0.0011486,0.0011486
45,130.724,1.30979,0.69657,0.97943,0.91601,0.85036,0.89974,0.52388,1.48367,0.7153,1.09797,0.0011288,0.0011288,0.0011288
46,133.769,1.24276,0.65401,0.95471,0.87794,0.87591,0.90578,0.51499,1.57417,0.76947,1.12061,0.001109,0.001109,0.001109
47,136.646,1.26401,0.68206,0.96226,0.89296,0.86861,0.8957,0.52772,1.45918,0.7028,1.08033,0.0010892,0.0010892,0.0010892
48,139.488,1.24477,0.67122,0.94751,0.89914,0.87226,0.90024,0.53638,1.4503,0.71678,1.07273,0.0010694,0.0010694,0.0010694
49,142.188,1.23338,0.64436,0.96649,0.9231,0.82847,0.87349,0.49977,1.53513,0.7565,1.10185,0.0010496,0.0010496,0.0010496
50,145.08,1.23569,0.65277,0.95518,0.86821,0.85766,0.86499,0.52629,1.47969,0.74789,1.07687,0.0010298,0.0010298,0.0010298
51,148.068,1.27451,0.6552,0.97394,0.90175,0.87095,0.88936,0.53219,1.49588,0.73906,1.11194,0.00101,0.00101,0.00101
52,150.964,1.22887,0.64634,0.96758,0.92605,0.86842,0.89582,0.5347,1.45487,0.70158,1.07023,0.0009902,0.0009902,0.0009902
53,153.569,1.20525,0.62232,0.94866,0.88644,0.91971,0.91067,0.54164,1.47015,0.70132,1.06288,0.0009704,0.0009704,0.0009704
54,156.611,1.23171,0.63122,0.95332,0.88483,0.87956,0.89445,0.539,1.45663,0.72363,1.06686,0.0009506,0.0009506,0.0009506
55,159.548,1.19084,0.624,0.93926,0.92846,0.85401,0.9073,0.54506,1.43874,0.68152,1.04714,0.0009308,0.0009308,0.0009308
56,162.173,1.19955,0.62455,0.95187,0.90743,0.88686,0.90364,0.54369,1.46294,0.68317,1.066,0.000911,0.000911,0.000911
57,165.216,1.21505,0.62999,0.93603,0.92649,0.874,0.9057,0.54091,1.45532,0.6843,1.06623,0.0008912,0.0008912,0.0008912
58,168.036,1.19653,0.64055,0.94582,0.88716,0.86077,0.87644,0.52433,1.45999,0.68538,1.06824,0.0008714,0.0008714,0.0008714
59,170.941,1.20014,0.62454,0.94928,0.90871,0.87188,0.89119,0.52776,1.47921,0.70033,1.0821,0.0008516,0.0008516,0.0008516
60,173.91,1.19614,0.61992,0.94494,0.87852,0.90511,0.90161,0.52095,1.46419,0.69727,1.07962,0.0008318,0.0008318,0.0008318
61,176.565,1.18464,0.60818,0.93538,0.93835,0.87591,0.91763,0.54718,1.43628,0.66235,1.0666,0.000812,0.000812,0.000812
62,179.323,1.12809,0.58141,0.91768,0.89619,0.88321,0.896,0.55083,1.42766,0.67223,1.05477,0.0007922,0.0007922,0.0007922
63,181.99,1.16873,0.59272,0.92504,0.91086,0.89051,0.90227,0.54212,1.447,0.67401,1.06746,0.0007724,0.0007724,0.0007724
64,184.413,1.1699,0.61106,0.93959,0.91836,0.86496,0.89969,0.54331,1.47797,0.69018,1.0893,0.0007526,0.0007526,0.0007526
65,187.151,1.15831,0.59074,0.93248,0.91659,0.88321,0.90142,0.56043,1.4511,0.66942,1.07361,0.0007328,0.0007328,0.0007328
66,190.4,1.18707,0.60265,0.9465,0.92067,0.88686,0.89678,0.53362,1.474,0.66604,1.07766,0.000713,0.000713,0.000713
67,193.251,1.13126,0.57967,0.92862,0.91712,0.88848,0.90082,0.54607,1.44119,0.65816,1.06172,0.0006932,0.0006932,0.0006932
68,195.696,1.12706,0.56951,0.9215,0.90403,0.87226,0.89565,0.54004,1.45012,0.66794,1.06724,0.0006734,0.0006734,0.0006734
69,198.86,1.12272,0.57475,0.92253,0.9229,0.87373,0.91453,0.55752,1.43912,0.64815,1.05534,0.0006536,0.0006536,0.0006536
70,203.395,1.11459,0.56737,0.92454,0.91566,0.88686,0.91415,0.56412,1.40441,0.65539,1.05272,0.0006338,0.0006338,0.0006338
71,206.696,1.10211,0.56525,0.92614,0.93127,0.90146,0.91635,0.56134,1.40232,0.65232,1.05799,0.000614,0.000614,0.000614
72,209.469,1.10035,0.56146,0.92253,0.93075,0.88321,0.90769,0.55054,1.41278,0.64896,1.06022,0.0005942,0.0005942,0.0005942
73,212.631,1.11953,0.56365,0.91592,0.93086,0.88451,0.90182,0.54036,1.39243,0.63537,1.0417,0.0005744,0.0005744,0.0005744
74,215.978,1.10344,0.55354,0.92246,0.93784,0.88106,0.91518,0.55649,1.39104,0.64216,1.04911,0.0005546,0.0005546,0.0005546
75,219.243,1.0967,0.55154,0.9129,0.94164,0.86861,0.91273,0.55911,1.43239,0.6575,1.0544,0.0005348,0.0005348,0.0005348
76,222.568,1.10751,0.55669,0.92197,0.93301,0.86416,0.90083,0.5461,1.43112,0.65814,1.06541,0.000515,0.000515,0.000515
77,225.63,1.0835,0.54763,0.92556,0.90229,0.89051,0.91221,0.55573,1.41168,0.64391,1.05591,0.0004952,0.0004952,0.0004952
78,228.728,1.07446,0.53692,0.91484,0.91233,0.89781,0.91442,0.5531,1.43019,0.64987,1.06482,0.0004754,0.0004754,0.0004754
79,232.577,1.09314,0.55274,0.91769,0.90181,0.90505,0.90547,0.55725,1.40194,0.63431,1.05191,0.0004556,0.0004556,0.0004556
80,236.77,1.05889,0.54242,0.90808,0.91806,0.91241,0.91053,0.55989,1.36135,0.62065,1.0386,0.0004358,0.0004358,0.0004358
81,240.592,1.03901,0.53604,0.91241,0.93763,0.89781,0.91351,0.55809,1.38737,0.6229,1.04352,0.000416,0.000416,0.000416
82,244.95,1.07455,0.53511,0.91182,0.91401,0.91241,0.91413,0.55756,1.41562,0.63222,1.05925,0.0003962,0.0003962,0.0003962
83,249.021,1.05497,0.53039,0.90308,0.92877,0.90511,0.91687,0.55647,1.40498,0.62785,1.058,0.0003764,0.0003764,0.0003764
84,252.867,1.04047,0.52178,0.90707,0.93519,0.89524,0.91752,0.55468,1.39103,0.63035,1.03666,0.0003566,0.0003566,0.0003566
85,256.071,1.05535,0.52458,0.90287,0.90567,0.91606,0.91523,0.57379,1.38428,0.62272,1.03665,0.0003368,0.0003368,0.0003368
86,259.212,1.04587,0.52874,0.90171,0.9181,0.90013,0.92181,0.57937,1.37942,0.61514,1.03623,0.000317,0.000317,0.000317
87,262.875,1.0838,0.53555,0.91589,0.90524,0.90647,0.91583,0.57298,1.37496,0.61326,1.04768,0.0002972,0.0002972,0.0002972
88,267.176,1.02223,0.51616,0.89662,0.90494,0.91241,0.91544,0.57445,1.39175,0.6172,1.05842,0.0002774,0.0002774,0.0002774
89,271.418,1.01939,0.50827,0.91138,0.92901,0.90742,0.92748,0.57094,1.39553,0.60293,1.04015,0.0002576,0.0002576,0.0002576
90,275.656,1.03995,0.51631,0.90656,0.90071,0.90876,0.92253,0.57237,1.40348,0.60378,1.04434,0.0002378,0.0002378,0.0002378
91,289.587,1.04466,0.51287,0.91052,0.93404,0.87858,0.91935,0.56884,1.40338,0.6126,1.05344,0.000218,0.000218,0.000218
92,293.029,1.01948,0.50659,0.91226,0.90817,0.90235,0.91753,0.57123,1.37695,0.60277,1.04766,0.0001982,0.0001982,0.0001982
93,295.898,1.01021,0.49608,0.89559,0.91032,0.91241,0.91463,0.56631,1.38793,0.61819,1.05396,0.0001784,0.0001784,0.0001784
94,298.631,1.0169,0.49451,0.91367,0.9083,0.90377,0.91395,0.56574,1.38557,0.61481,1.0491,0.0001586,0.0001586,0.0001586
95,301.48,0.97502,0.4824,0.89869,0.91382,0.91241,0.9172,0.57523,1.37976,0.60605,1.04654,0.0001388,0.0001388,0.0001388
96,304.887,0.97408,0.47787,0.88913,0.91627,0.91971,0.91833,0.57386,1.39081,0.61161,1.05329,0.000119,0.000119,0.000119
97,307.94,0.98557,0.48764,0.90828,0.9122,0.91004,0.91486,0.57409,1.37494,0.60455,1.04667,9.92e-05,9.92e-05,9.92e-05
98,310.869,0.9648,0.47505,0.89675,0.90867,0.91606,0.9148,0.57395,1.37176,0.605,1.04468,7.94e-05,7.94e-05,7.94e-05
99,313.93,0.96648,0.48128,0.88677,0.90933,0.91501,0.9155,0.57209,1.36836,0.60383,1.04423,5.96e-05,5.96e-05,5.96e-05
